u1,u2,u3,u4,u5,u6,u7
0.25596622,0.64897214,0.88014856,0.3570224,0.63315666,0.43953023,0.4064227
0.24542978,0.67909271,0.86404027,0.35710197,0.60456409,0.38248752,0.37039004
0.23489333,0.6883988,0.88190887,0.35718154,0.55719762,0.3715209,0.34424206
0.22435689,0.71232514,0.8721324,0.35726083,0.50983116,0.36405177,0.32093539
0.28827324,0.68391307,0.6889597,0.3583734,0.47886508,0.55190367,0.51451026
0.35579819,0.69402254,0.6620087,0.35845269,0.56800329,0.58135612,0.54807652
0.35496886,0.69146348,0.67597722,0.35853226,0.63674978,0.54701814,0.53817622
0.35198607,0.71400268,0.67195245,0.35861156,0.66946906,0.5540804,0.54644499
0.34900264,0.70463616,0.67526013,0.35869112,0.70218702,0.54755019,0.51551869
0.34601921,0.68495379,0.68392471,0.35877069,0.7051572,0.49105363,0.49046593
0.34303578,0.69852006,0.67760248,0.35884998,0.69554486,0.46272319,0.46926636
0.34005235,0.68608591,0.67809474,0.35892955,0.68593121,0.4474829,0.43472118
0.3340855,0.725004,0.67758061,0.35908841,0.66670653,0.45147802,0.43089922
0.33110207,0.69715946,0.67497621,0.35916798,0.66880668,0.45826644,0.42003909
0.32811864,0.71074489,0.67533111,0.35924727,0.69089903,0.50984148,0.46177865
0.33110906,0.71480902,0.67202804,0.35932684,0.71299006,0.54318733,0.51426206
0.37201339,0.69181727,0.67408723,0.35940613,0.74208861,0.59668404,0.56221882
0.41291772,0.70095677,0.68328742,0.3594857,0.7722149,0.61909613,0.59504742
0.43105106,0.69765476,0.67755567,0.35956527,0.78667283,0.61634352,0.59121157
0.42344908,0.70128698,0.66551474,0.35964456,0.76928415,0.54046445,0.56022626
0.41584645,0.68551985,0.66774083,0.35972413,0.74950092,0.52825063,0.52291094
0.40824446,0.69048467,0.692046,0.35980342,0.729719,0.48498975,0.47488996
0.40064248,0.71566401,0.67260547,0.35988299,0.70993577,0.45767491,0.44401747
0.39304049,0.70880054,0.6760977,0.35996256,0.700376,0.43730967,0.40862701
0.3854385,0.71352065,0.6746781,0.36004185,0.69508225,0.46444142,0.42307999
0.37783651,0.72557006,0.67336285,0.36012142,0.70590895,0.47528442,0.45769113
0.37023389,0.71411029,0.68422091,0.36020071,0.72346191,0.51179444,0.50496057
0.36545888,0.71548712,0.68195913,0.36028028,0.74101488,0.537981,0.53084298
0.36078117,0.68990681,0.67491482,0.36035985,0.74627709,0.54998513,0.52511351
0.35610347,0.68438773,0.67838825,0.36043914,0.73080719,0.49851024,0.4771689
0.35142576,0.69704447,0.68726577,0.36051871,0.71533729,0.47527033,0.46464773
0.34674742,0.69147969,0.67575699,0.360598,0.69986739,0.45058917,0.45106085
0.34206971,0.69869106,0.67861539,0.36067757,0.68439749,0.41103391,0.41267982
0.33739201,0.7227486,0.67439417,0.36075714,0.69024717,0.42762781,0.39296599
0.3327143,0.71736072,0.6744736,0.36083643,0.69929964,0.45190836,0.43041844
0.3280366,0.69471832,0.67881413,0.360916,0.7083508,0.48807098,0.47058895
0.33200581,0.68764257,0.67369396,0.36099529,0.71740328,0.51540773,0.47257456
0.342665,0.72340606,0.68165603,0.36107486,0.72645443,0.56461199,0.52502499
0.36037859,0.70462437,0.67126145,0.36115443,0.73811304,0.55566562,0.51130273
0.37809218,0.68664755,0.67971194,0.36123372,0.75140131,0.57504968,0.56855578
0.39580577,0.69103893,0.69436417,0.36131329,0.73205703,0.53876813,0.51799897
0.38930214,0.68325561,0.67862882,0.36139258,0.71271276,0.52050138,0.48525369
0.36877875,0.71467193,0.67232155,0.36147215,0.70247221,0.45328075,0.4317983
0.34825535,0.69012498,0.67164973,0.36155171,0.69356693,0.41667058,0.39594789
0.32773196,0.72808047,0.65609049,0.36163101,0.69433445,0.43091404,0.39484573
0.31400157,0.68887788,0.67469229,0.36171057,0.70951653,0.49155908,0.47627156
0.31591399,0.71607676,0.66959092,0.36178987,0.71880688,0.49304258,0.46679997
0.31782705,0.70878579,0.67418622,0.36186944,0.73608123,0.50994007,0.5019023
0.31973947,0.68697038,0.67398709,0.361949,0.74645846,0.49372643,0.47477887
0.32165253,0.67419865,0.67293659,0.36199735,0.73017241,0.49065615,0.47477887
0.32356495,0.70335074,0.67838825,0.36197276,0.71388506,0.44830916,0.45154163
0.32547801,0.69769014,0.66993662,0.36194845,0.69759902,0.42781873,0.41902024
0.31603292,0.7040362,0.66997422,0.36192414,0.68131298,0.42519913,0.39873886
0.3061967,0.68467076,0.67192406,0.36189983,0.6647838,0.41525906,0.38633571
0.29636048,0.70603952,0.67560544,0.36187551,0.64225907,0.37813718,0.35793482
0.28652426,0.7203001,0.6821832,0.36185092,0.61973434,0.37920755,0.33357633
0.27668804,0.69344469,0.68439816,0.36182661,0.59720961,0.35487066,0.32885181
0.26685119,0.70684144,0.65768044,0.3618023,0.58995764,0.37288703,0.3468126
0.25701497,0.71651015,0.69356919,0.36177799,0.58494251,0.40146941,0.36555618
0.24717875,0.69485984,0.67616408,0.3617534,0.58116407,0.40457256,0.34541538
0.23734253,0.70371632,0.66941597,0.36172909,0.58216684,0.44512151,0.3899841
0.22750631,0.70553537,0.67811354,0.36170477,0.58593213,0.43257124,0.38547481
0.21767009,0.69258381,0.6803945,0.36168046,0.59206174,0.40781497,0.38096379
0.20499036,0.69012498,0.67455493,0.36165615,0.58587956,0.40693395,0.3764545
0.18906136,0.69457681,0.68517396,0.36163156,0.56916245,0.38336698,0.34130356
0.17313235,0.69047287,0.67854901,0.36160725,0.55143075,0.34890694,0.29777278
0.15720335,0.71607824,0.66029252,0.36158293,0.50863389,0.34890694,0.29326175
0.13868396,0.68456757,0.62709795,0.36141247,0.500872,0.46044161,0.40959378
0.14282298,0.70613534,0.61842762,0.36138788,0.51980097,0.44109353,0.39528312
0.14696264,0.71521441,0.6257098,0.36136357,0.52948034,0.44312787,0.38549564
0.15110166,0.71782211,0.62085476,0.36133926,0.53915839,0.46744597,0.41864013
0.15524132,0.70138574,0.62323969,0.36131494,0.549027,0.4468194,0.40862701
0.15938034,0.68495379,0.63225917,0.36129063,0.55905727,0.44731546,0.41269717
0.16352,0.69089742,0.6353447,0.36126604,0.56908885,0.48061593,0.41778618
0.16765902,0.72726824,0.63070681,0.36124173,0.57843571,0.47057572,0.44831848
0.17179868,0.69228898,0.62357119,0.36121742,0.57091301,0.45121043,0.41138327
0.1759377,0.69272679,0.63060283,0.3611931,0.56350991,0.4399903,0.41138327
0.17900063,0.7183528,0.61961471,0.36116879,0.5590507,0.45874842,0.40972916
0.18202921,0.69415226,0.6264008,0.3611442,0.55771543,0.48487551,0.41193521
0.1850578,0.70726598,0.62553945,0.36111989,0.56872612,0.48585825,0.46049078
0.18808638,0.69140894,0.62821943,0.36109558,0.57693748,0.49353864,0.45211961
0.19111497,0.72453081,0.61963351,0.36107127,0.58279636,0.53171839,0.46595816
0.19414355,0.71721183,0.62782041,0.36104668,0.60018373,0.53169335,0.48350065
0.19678291,0.69655802,0.62906007,0.36102236,0.61723466,0.52087539,0.4576894
0.19851407,0.68594439,0.6318141,0.36099805,0.63372572,0.5458257,0.49826432
0.2002446,0.71566401,0.59936118,0.36097374,0.65021678,0.53909989,0.49217557
0.20197513,0.69616885,0.62910074,0.36094943,0.67455779,0.55060639,0.52356702
0.20370566,0.69422302,0.62545427,0.36092484,0.69153381,0.5457678,0.52067365
0.20543619,0.72107991,0.62135622,0.36090053,0.67439745,0.5503028,0.49791024
0.20716735,0.70401114,0.62934437,0.36087621,0.65726242,0.46127412,0.46295718
0.21121225,0.69174651,0.62373156,0.3608519,0.64632401,0.47156315,0.42516628
0.2207292,0.68802584,0.61617889,0.36082759,0.63440255,0.47455049,0.42516628
0.23024615,0.73054225,0.61558304,0.360803,0.65576024,0.50924839,0.45308638
0.23976374,0.71225438,0.61882933,0.36077869,0.65910366,0.51916968,0.47692938
0.2492807,0.72077919,0.63372596,0.36075437,0.66431068,0.55463437,0.49966675
0.25717587,0.71000636,0.60173691,0.36073006,0.7155778,0.58243901,0.52174804
0.26410944,0.68280748,0.6153747,0.36070575,0.72345271,0.54556124,0.5129603
0.24865997,0.70934891,0.63898847,0.36068116,0.69419645,0.49425066,0.44653941
0.18028597,0.67632138,0.63085836,0.36065685,0.64602173,0.38583791,0.3515024
0.11191196,0.68835015,0.60944075,0.36063253,0.58165823,0.33209083,0.28632772
0.074557733,0.69454143,0.54555664,0.36060822,0.51729603,0.26627701,0.23556784
0.13264651,0.71045597,0.45171772,0.36048638,0.58224043,0.71332175,0.65926921
0.16698551,0.70225694,0.45916105,0.36046207,0.69529779,0.79418963,0.74790851
0.20132515,0.68604463,0.45211943,0.36043748,0.79040527,0.84095426,0.82512879
0.23566479,0.680614,0.44932319,0.36041317,0.84917801,0.87682425,0.85109799
0.27000379,0.68679054,0.49429779,0.36038886,0.84057106,0.87927171,0.84532686
0.26876297,0.73508694,0.52974148,0.36036454,0.8245229,0.79796254,0.77375101
0.25831557,0.72470181,0.51999724,0.36033996,0.80847342,0.77230333,0.72323933
0.24786816,0.71451862,0.52088315,0.36031564,0.79806991,0.73021454,0.69528625
