u1,u2,u3,u4,u5,u6,u7
0.26890035,0.65089438,0.83274183,0.58342045,0.7847593,0.84307935,0.8220792
0.2684825,0.65013964,0.85215319,0.57751002,0.77648749,0.83860539,0.8220792
0.26796671,0.65965652,0.823618,0.57159959,0.76454632,0.80787913,0.78624615
0.26745093,0.66833758,0.80837106,0.56568943,0.75260515,0.79960565,0.78624615
0.26693514,0.64719141,0.76194846,0.559779,0.74532558,0.77312176,0.74614159
0.26641935,0.63366494,0.77462131,0.55508364,0.75605897,0.81134063,0.78637285
0.26590356,0.65401213,0.77442026,0.55176194,0.76679367,0.85166111,0.8207948
0.26538841,0.67228673,0.77399669,0.54843996,0.76124364,0.80560537,0.8220792
0.26347663,0.63933733,0.76210002,0.54511799,0.75324913,0.81117475,0.7890024
0.25270868,0.66221558,0.77037209,0.54179601,0.74525461,0.8131637,0.7890024
0.24194074,0.65263973,0.75952555,0.53847403,0.72511523,0.80074801,0.7890024
0.23117215,0.62835812,0.73648,0.53515206,0.70319636,0.77465534,0.74215995
0.22040421,0.64368891,0.6771766,0.53183008,0.68127749,0.72846345,0.72009428
0.20963626,0.62204892,0.54615287,0.52850811,0.68163628,0.72187691,0.70129169
0.20081381,0.62629731,0.39974908,0.52518641,0.68525832,0.7491448,0.71750639
0.2046412,0.66604385,0.41583856,0.52186443,0.69710881,0.80729856,0.75426282
0.20846859,0.64667252,0.39353121,0.51854245,0.71016445,0.81203543,0.79776931
0.21229597,0.64348843,0.40741532,0.51522048,0.72322009,0.78856079,0.76860472
0.16221304,0.64801691,0.40327008,0.5118985,0.73032224,0.79221476,0.77153628
0.23296755,0.65005561,0.42117666,0.50857652,0.72738229,0.79106145,0.79391437
0.23410343,0.66856017,0.42502993,0.50525455,0.72444102,0.76578095,0.76576342
0.23523995,0.63906609,0.43341403,0.50193257,0.72150107,0.77440339,0.76640041
0.23637582,0.66292315,0.42831267,0.5016748,0.71879111,0.76979798,0.75872178
0.23751234,0.63818162,0.39763885,0.50487964,0.71698929,0.75037322,0.7334156
0.23864822,0.6449198,0.42705382,0.50808447,0.71518878,0.78046727,0.76908724
0.23978473,0.66890363,0.41247871,0.51128958,0.71338696,0.79760105,0.78425185
0.24092061,0.65813818,0.34141101,0.51449442,0.71158514,0.7576311,0.76273293
0.24205712,0.63964394,0.41901848,0.51769925,0.70714302,0.8161041,0.79727117
0.243193,0.68228859,0.36660515,0.52090408,0.69927073,0.75726961,0.77451297
0.24432951,0.62778027,0.26455133,0.52662278,0.68626766,0.75167832,0.72477193
0.072806216,0.64301672,0.29756288,0.53518217,0.70917746,0.78023567,0.79339019
0.13205885,0.64728575,0.14761046,0.54374157,0.70422278,0.79172496,0.76959753
0.14003798,0.66483066,0.20091353,0.55230124,0.73735078,0.82623038,0.80774598
0.13542133,0.66495153,0.22386432,0.55197965,0.73233565,0.82892822,0.82702241
0.13080404,0.66648461,0.28040409,0.54943788,0.72732052,0.81315901,0.8133123
0.11080979,0.66414962,0.34874576,0.54689612,0.72095566,0.7751248,0.75972153
0.055404897,0.63762441,0.272861,0.54435408,0.68125121,0.74390404,0.73167125
0.13930087,0.66977336,0.18724697,0.53927055,0.72239212,0.79373738,0.77390027
0.17076456,0.65955038,0.24262266,0.56177207,0.72995688,0.82900959,0.7952734
0.17422689,0.65439688,0.1971278,0.58048692,0.70346578,0.77075098,0.76257498
0.20330562,0.72413575,0.51493961,0.61462228,0.76079023,0.85450605,0.8631783
0.152228,0.6965934,0.48741732,0.58807244,0.75623245,0.76548519,0.73134841
0.10114974,0.68844597,0.49600285,0.5916345,0.77190474,0.76621129,0.75927893
0.10050485,0.69330317,0.52540324,0.59519684,0.77490514,0.76471527,0.78153378
0.10174885,0.67161158,0.49135423,0.5987589,0.74906196,0.72912539,0.73888299
0.10299284,0.65591816,0.44570819,0.60232096,0.73128426,0.72156706,0.74139451
0.10423747,0.68171074,0.43076398,0.60588303,0.69823905,0.7345508,0.73663181
